DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,RIVERA DE GATA (DIQUE DEL COLLADO 1),RIVERA DE GATA (DIQUE-F-2),Explotación,ESTADO,J-MACIAS,A,31-12-1990,--,0189952,4449480,Abastecimiento                                    -  - Riego,-  -,,"180,000","99,200","1278,000","914,000",,Materiales sueltos núcleo arcilla,"15,500","180,000","345,500","330,000","344,520","54,910",000,-,000,-,-,,RIVERA DE GATA,VILLASBUENAS DE GATA,TAJO
,RIVERA DE GATA (DIQUE DEL COLLADO 2),RIVERA DE GATA (DIQUE-I-1)),Explotación,ESTADO,J-MACIAS,A,31-12-1990,--,0190862,4449175,Abastecimiento                                    -  - Riego,-  -,,"180,000","99,200","1278,000","914,000",,Materiales sueltos núcleo arcilla,"12,870","258,000","345,500","332,630","0,000","36,650",000,-,000,-,-,,RIVERA DE GATA,VILLASBUENAS DE GATA,TAJO
,RIVERA DE GATA (DIQUE F 2),RIVERA DE GATA (DIQUE-F-1),Explotación,ESTADO,J. MACÍAS MÁRQUEZ,A,31-12-1990,--,0190092,4449418,Abastecimiento                                    -  - Riego,-  -,,"180,000","99,200","1278,000","914,000",,Materiales sueltos núcleo arcilla,"11,000","175,000","345,500","336,450","339,360","54,910",000,-,001,"327,930 -","No, Labio fijo -",,RIVERA DE GATA,VILLASBUENAS DE GATA,TAJO
,RIVERA DE GATA (PRINCIPAL),,Explotación,ESTADO,J-MACIAS MARQUEZ,A,31-12-1990,--,0190280,4449251,Abastecimiento                                    -  - Riego,-  -,,"180,000","99,200","1278,000","914,000",,Materiales sueltos núcleo arcilla,"61,000","356,000","345,500","284,500","298,000","596,000",001,"60,780 -",001,"327,930 -","No, Labio fijo -",,RIVERA DE GATA,VILLASBUENAS DE GATA,TAJO
,ROBLEDO (TOMA),,Explotación,ESTADO,JUAN MANUEL CERVÓS PENELLA,C,01-01-1983,--,0391610,4493815,Abastecimiento                                    -  -  Y COLONIA DEL PIMPOLLAR,-  -,,"61,740","20,490","772,000","140,000",,Gravedad,"13,300","81,000","1086,000","1072,700","1077,200","4,838",001,"2,000 -",001,"140,000 -","No, Labio fijo -",,COFIO,SANTA MARIA DE LA ALAMEDA,TAJO
,ROBLEDO DE CHAVELA,,Explotación,AYUNTAMIENTO DE ROBLEDO DE CHAVELA,J-GRANDA,,31-12-1968,--,0393191,4488073,Abastecimiento                                    -  -,-  -,,"176,000","37,600","0,000","420,000",,Gravedad,"22,700","82,900","886,700","864,000","869,000","10,170",001,"0,000 -",001,"420,000 -","No, Labio fijo -",,COFIO,VALDEMAQUEDA y Sta. Mª de la ALAMEDA,TAJO
,"RODEOS, LOS",,Puesta en Carga,ESTADO,CARLOS MARCO GARCIA,A,01-01-2002,--,0649787,4212160,Defensa frente a avenidas                         -  -,-  -,,"647,000","35,000","421,000","1089,000",,Gravedad,"38,000","295,000","135,000","97,000","104,500","92,000",001,"64,000 -",001,"1096,000 -","No, Labio fijo -",,MULA,CAMPOS DEL RIO,SEGURA
,"ROMERAL, EL",,Explotación,ESTADO,M.DEL CAMPO,A,31-12-1928,01-01-1943,0402205,4494905,Abastecimiento                                    -  -,-  -,,"2,330","0,000","1100,000","0,000",,Gravedad,"31,000","185,500","1141,000","1110,000","1114,400","34,000",001,"0,000 -",001,"9,000 -","No, Labio fijo -",,ROMERAL,SAN LORENZO DE EL  ESCORIAL,TAJO
,"ROPERA I, LA",,Explotación,EXPLOTACIONES AGRÍCOLAS LA ROPERA: Pedro Gonzalez Bordallo.,JOSE ANTONIO DOMINGO ATENCIA,C,31-12-1991,--,0295800,4347240,Riego                                             -  -,-  -,,"2,170","0,150","654,700","4,280",,Materiales sueltos homogenea,"14,000","180,000","457,500","443,500","443,500","24,000",001,"0,000 -",001,"4,280 -","No, Labio fijo -",,ARROYO DE LAS ALBARIZAS,LOGROSAN,GUADIANA
,ROSADOIRO,,Explotación,DIPUTACION DE LA CORUÑA,L-YORDI,,01-01-1970,--,0053854,4812522,Abastecimiento                                    -  -,-  -,,"28,000","20,000","1200,000","0,000",,Gravedad,"16,000","127,500","18,500","2,000","4,500","6,600",000,-,001,"93,000 -",Compuertas. -,,SEIJEDO,ARTEIXO,GALICIA COSTA
,"ROSAL, EL / RIO II",,Explotación,EXVASA,L-PULIDO,,31-12-1989,--,0272210,4258265,Riego                                             -  -,-  -,,"47,000","4,000","572,000","73,000",,Materiales sueltos homogenea,"12,000","437,000","564,500","552,500","553,000","0,000",000,-,001,"73,000 -","No, Labio fijo -",,ROSAL,PERALEDA,GUADIANA
,"ROSALES, LOS",,Explotación,URB. PARQUE LAGOS,C-LEVENFELD Y J. LIRIA,,31-12-1968,--,0418326,4495003,Abastecimiento                                    -  -,-  -,,"3,250","0,000","0,000","40,000",,Gravedad,"14,000","229,600","888,500","874,500","875,000","6,160",000,-,001,"40,000 -","No, Labio fijo -",,PRADERA,GALAPAGAR,TAJO
,ROSARITO,,Explotación,ESTADO,F. PEREZ DE LA TORRE,A,31-12-1958,--,0302082,4442874,Riego                                             -  -,-  -,,"1754,000","901,500","1043,000","1587,000",,Gravedad,"37,500","123,350","308,800","271,300","283,700","63,000",001,"150,000 -",001,"1560,000 -",Compuertas. -,,TIETAR,"OROPESA, CANDELEDA",TAJO
,ROSARITO (DIQUE DEL COLLADO),,Explotación,ESTADO,F-PEREZ DE LA TORRE,A,31-12-1958,--,0302065,4442890,Hidroeléctrico                                    -  - Riego,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"4,070","2650,000","308,800","304,730","305,530","60,960",000,-,000,-,-,,ARROYO DEL MOJÓN,"OROPESA, CANDELEDA",TAJO
,"ROZAS, LAS",,Explotación,ENDESA GENERACION S.A.,A-ALVAREZ Y J. TORAL,A,31-12-1968,--,0226303,4756131,Hidroeléctrico                                    -  -,-  -,,"354,310","470,000","0,000","1028,000",,Gravedad,"71,000","171,000","961,000","890,000","914,000","165,000",002,"53,000 - 12,000",001,"1028,000 -",Compuertas. -,,SIL,"VILLABLINO, PÁRAMO DEL SIL",NORTE
,RUBITE,,Explotación,JUNTA DE ANDALUCÍA,J.A. RODRIGUEZ ARRIBAS,C,31-12-1995,--,0403444,4076898,Derivación                                        -  -,-  -,,"36,270","0,000","0,000","185,000",,Gravedad,"17,510","25,000","266,940","249,430","254,000","3,220",001,"0,000 -",001,"185,000 -","No, Labio fijo -",,RUBITE,ALCAUCIN,C. MEDITERRANEA ANDALUZA
,RUECAS,,Explotación,ESTADO,F. VELASCO - JOSE BARRAU,A,31-12-1995,--,0284705,4349645,Hidroeléctrico                                    -  - Abastecimiento,-  -,,"135,100","61,750","1063,000","386,000",,Gravedad,"43,050","800,000","393,050","350,000","360,200","260,000",001,"102,000 -",001,"391,000 -","No, Labio fijo -",,RUECAS,LOGROSAN,GUADIANA
,RUECAS (AZUD),,Explotación,ESTADO,F. JIMENEZ NUÑEZ,C,31-12-1997,--,0282308,4345908,Riego                                             -  -,-  -,,"106,800","31,610","923,000","448,000",,Gravedad y Materiales sueltos homogenea,"18,760","400,000","342,500","323,740","328,500","0,000",001,"0,000 -",001,"448,000 -","No, Labio fijo -",,RUECAS,LOGROSAN,GUADIANA
,RULES,,Puesta en Carga,JUNTA DE ANDALUCÍA,ANTONIO NEVOT PÉREZ,A,31-12-2003,--,0455924,4079614,Abastecimiento                                    -  - Defensa frente a avenidas,-  -,,"1070,000","150,000","650,000","3020,000",,Arco Gravedad,"132,000","509,000","250,000","118,000","152,000","2032,000",002,"187,000 - 79,000",001,"2987,000 -","No, Labio fijo -",,GUADALFEO,"VELEZ DE BENAUDALLA, SALOBREÑA",C. MEDITERRANEA ANDALUZA
,RUMBLAR,,Explotación,ESTADO,F-MELLIZO,A,31-12-1941,--,0429670,4224281,Abastecimiento                                    -  - Riego,-  -,,"550,000","0,000","0,000","576,000",,Gravedad,"68,000","220,000","344,000","276,000","284,000","162,340",001,"55,000 -",001,"485,000 -","No, Labio fijo -",,RUMBLAR,BAÑOS DE LA ENCINA,GUADALQUIVIR
,RUMEDO INFERIOR,RUMEDO,Explotación,"ENDESA GENERACIÓN, S.A.",E-LAFUENTE,A,31-12-1971,--,0855594,4736713,Hidroeléctrico                                    -  - Regulación,-  -,,"7,900","2,720","1150,000","39,000",,Gravedad,"9,300","91,000","2007,000","1997,700","1998,700","3,000",001,"36,300 -",001,"65,000 -","No, Labio fijo -",,RUMEDO,LLADORRE,EBRO
,SABIÑANIGO,,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,C-SANCHO REBULLIDA,,31-12-1965,--,0717595,4710288,Hidroeléctrico                                    -  -,-  -,,"598,000","0,000","0,000","1500,000",,Gravedad,"18,500","77,000","767,000","748,500","751,300","8,900",000,-,001,"1500,000 -",Compuertas. -,,GALLEGO,SABIÑANIGO,EBRO
,SABURO,,Explotación,"ENDESA GENERACIÓN, S.A.",J-DURAN,C,31-12-1934,--,0829999,4716400,Hidroeléctrico                                    -  -,-  -,,"1,680","0,000","0,000","8,600",,Gravedad,"10,400","60,000","2534,570","2524,170","2529,070","1,270",000,-,001,"8,600 -","No, Labio fijo -",,FLAMISELL,"TORRE DE CABDELLA, LA",EBRO
,SABURO (DIQUE DEL COLLADO 1),,Explotación,"ENDESA GENERACIÓN, S.A.",J-DURAN,C,31-12-1934,--,0829999,4716400,Hidroeléctrico                                    -  -,-  -,,"1,680","0,000","0,000","8,600",,Gravedad,"12,500","34,000","2534,570","2522,070","2525,070","2,000",000,-,000,-,-,,FLAMISELL,"TORRE DE CABDELLA, LA",EBRO
,SABURO (DIQUE DEL COLLADO 2),,Explotación,"ENDESA GENERACIÓN, S.A.",J-DURAN,C,31-12-1934,--,0829999,4716400,Hidroeléctrico                                    -  -,-  -,,"1,680","0,000","0,000","8,600",,Gravedad,"2,500","12,000","2534,570","2532,070","2533,870","1,000",000,-,000,-,-,,FLAMISELL,"TORRE DE CABDELLA, LA",EBRO
,SALADO,,Explotación,"ENDESA GENERACIÓN, S.A.",R. MOORE,A,31-12-1931,--,0815748,4713324,Hidroeléctrico                                    -  -,-  -,,"1,000","0,000","0,000","0,000",,Gravedad,"18,900","87,700","2369,070","2350,170","2352,070","4,000",000,-,001,"6,000 -","No, Labio fijo -",,FLAMISELL,"TORRE DE CABDELLA, LA",EBRO
,SALAS,,Explotación,UNION FENOSA GENERACION S.A.,FENOSA,A,31-12-1971,--,0089525,4653497,Hidroeléctrico                                    -  -,-  -,,"145,000","284,000","0,000","640,000",,Contrafuertes,"50,000","1005,000","835,500","785,500","788,000","76,000",002,"0,000 - 27,000",001,"540,000 -",Compuertas. -,,SALAS,MUIÑOS,NORTE
,SALIENCIA,,Explotación,"HIDROELECTRICA DEL CANTABRICO, S.A.",A. CABALLERO DE RODAS,C,31-12-1960,--,0235376,4779258,Hidroeléctrico                                    -  -,-  -,,"48,000","56,000","1650,000","130,000",,Gravedad,"20,000","33,000","615,730","595,730","602,000","2,800",000,-,001,"130,000 -","No, Labio fijo -",,SALIENCIA,SOMIEDO,NORTE
,SALIME,,Explotación,SALTOS DE NAVIA EN COMUNIDAD S.A.,EPTISA,A,31-12-1956,--,0187387,4794430,Hidroeléctrico                                    -  - Regulación,-  -,,"1806,000","0,000","0,000","0,000",,Arco Gravedad,"125,000","250,000","227,670","102,670","110,000","645,000",001,"120,000 -",001,"1658,000 -",Compuertas. -,,NAVIA,GRANDAS DE SALIME,NORTE
,SALLENTE,,Explotación,"ENDESA GENERACIÓN, S.A.",J. ALBA,A,31-12-1985,--,0828446,4713232,Hidroeléctrico                                    -  -,-  -,,"24,060","3,470","1321,000","90,800",,Materiales sueltos P asfáltica,"89,000","397,580","1770,000","1681,000","1732,000","1542,000",001,"36,000 -",001,"125,000 -","No, Labio fijo -",,FLAMISELL,"TORRE DE CABDELLA, LA",EBRO
,SALOR,,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",G-VALERO,A,01-01-1964,--,0214873,4362570,Riego                                             -  -,-  -,,"160,000","0,000","0,000","300,000",,Gravedad,"21,400","612,500","398,100","376,700","382,700","30,650",001,"0,000 -",001,"300,000 -","No, Labio fijo -",,SALOR,CACERES,TAJO
,SALVAINDIA,,Explotación,J. DEL RIO AMOR,,,01-01-1940,--,-730322,3159750,Riego                                             -  -,-  -,,"0,640","0,000","0,000","0,000",,Gravedad,"16,000","86,000","360,000","344,000","344,000","6,000",000,-,000,-,-,,BARRANCO HOYA DE LOS MANRIQUES,TEIDE,LAS PALMAS
,SAN ANDRES TACONES,ABOÑO,Explotación,C.S.I. PLANOS S.A. / ACERALIA,A. ALVAREZ Y J.A. BAZTAN,A,31-12-1970,--,0277295,4820395,Abastecimiento                                    -  - Recreo,-  -,,"37,500","15,600","1000,400","220,000",,Materiales sueltos P asfáltica,"22,000","434,000","41,000","19,000","27,000","199,000",001,"0,000 -",001,"185,000 -",Compuertas. -,,ABOÑO,GIJON,NORTE
,SAN ANTON,,Explotación,MANCOMUNIDAD DE SERVICIOS DE TXINGUDI,N-ECHANIZ,A,31-12-1988,--,0600076,4792610,Abastecimiento                                    -  -,-  -,,"10,500","20,000","2410,000","163,000",,Materiales sueltos P hormigón,"56,800","210,000","247,000","190,200","195,000","432,000",000,-,001,"73,950 -","No, Labio fijo -",,ENDARA,LESAKA,NORTE
,SAN BARTOLOME,,Explotación,COMUNIDAD DE REGANTES DE ARBA DE LUESTE,MANTECON Y CABALLERO (RTO),,31-12-1908,01-01-1942,0652620,4675075,Riego                                             -  -,-  -,,"505,500","0,000","0,000","0,000",,Materiales sueltos homogenea,"18,500","304,500","418,500","400,000","405,000","90,000",000,-,001,"60,000 -","No, Labio fijo -",,ARBA DE LUESTE,EJEA DE LOS CABALLEROS,EBRO
,SAN CLEMENTE,,Explotación,ESTADO,J-DELGADO,A,31-12-1990,--,0531033,4190348,Riego                                             -  -,-  -,,"152,000","0,000","420,000","700,000",,Materiales sueltos núcleo arcilla,"91,500","580,000","1064,000","972,500","980,000","2013,000",001,"50,000 -",001,"620,000 -",Compuertas. -,,GUARDAL,HUESCAR,GUADALQUIVIR
,SAN COSMADE,,Explotación,UNION FENOSA GENERACION S.A.,R-HOYO,A,01-01-1979,--,0058468,4792391,Industrial                                        -  -,-  -,,"12,000","0,000","0,000","100,000",,Gravedad,"18,000","372,050","361,000","343,500","361,770","9,540",000,-,001,"93,000 -","No, Labio fijo -",,PORTIGA(PORTIGA DE VILLASENIN),ORDES,GALICIA COSTA
,SAN ESTEBAN,,Explotación,IBERDROLA GENERACION S.A.,F.ZAPATA,A,31-12-1955,--,0117257,4706411,Hidroeléctrico                                    -  -,-  -,,"7216,000","5580,000","0,000","4500,000",,Arco Gravedad,"115,000","295,000","231,000","116,000","124,000","474,300",001,"200,000 -",001,"5562,000 -",Compuertas. -,,SIL,NOGUEIRA  DE RAMUIN,NORTE
,SAN FERNANDO,SALTO DE SAN FERNANDO,Explotación,"BELSA DE ENERGIA, S.L.",ALBERTO BERNAL,C,01-01-1997,--,0282990,4487920,Hidroeléctrico                                    -  -,-  -,,"0,000","0,000","0,000","1700,000",,Gravedad,"20,000","144,400","0,000","0,000","0,000","0,000",001,"79,200 -",001,"1700,000 -","No, Labio fijo -",,TORMES,"CESPEDOSA DE TORMES, SANTIBAÑEZ",DUERO
,SAN JOSE,,Explotación,ESTADO,J-CAMARA RICA,A,31-12-1941,--,0310275,4586175,Abastecimiento                                    -  - Riego,-  -,,"38900,000","3959,000","0,000","2500,000",,Gravedad,"17,300","156,000","660,000","642,700","644,750","48,020",000,-,002,"2500,000 - 0,000",Compuertas. - Compuertas.,,DUERO,CASTRONUÑO,DUERO
,SAN JUAN,,Explotación,ESTADO,"J-A-GARCIA, M. DIAZ RABAGO",A,31-12-1955,--,0388451,4469946,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1911,000","576,000","765,000","1500,000",,Gravedad,"78,000","230,000","583,000","505,000","513,000","195,000",001,"86,000 -",001,"1600,000 -",Compuertas. -,,ALBERCHE,SAN MARTIN DE VALDEIGLESIAS,TAJO
,SAN JUAN (DIQUE DEL COLLADO),,Explotación,ESTADO,A.GARCIA Y M. DIAZ RABAGO,A,31-12-1955,--,0388451,4469946,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1911,000","576,000","765,000","1500,000",,Contrafuertes,"19,500","391,000","582,000","562,500","566,600","22,300",000,-,000,-,-,,ALBERCHE,SAN MARTIN DE VALDEIGLESIAS,TAJO
,SAN JUAN DE TORAN,SANT JOAN DE TORAN,Explotación,"ENDESA GENERACIÓN, S.A.",J-SERRANO,C,31-12-1964,--,0813298,4747621,Hidroeléctrico                                    -  -,-  -,,"8,520","2,930","0,000","71,000",,Gravedad,"40,000","64,700","1210,740","1170,740","1182,240","7,750",001,"40,500 -",001,"71,000 -",Compuerta clap -,,TORAN,CANEJAN,EBRO
,SAN LORENZO MONGAY,SANT LLORENÇ DE MONTGAI,Explotación,"ENDESA GENERACIÓN, S.A.",L.SANTASUSANA,B,31-12-1930,--,0818899,4640759,Hidroeléctrico                                    -  - Riego,-  -,,"7110,000","0,000","0,000","3500,000",,Gravedad y Materiales sueltos homogenea,"25,000","944,000","249,170","224,170","229,000","0,000",001,"1200,000 -",002,"0,000 - 3400,000",Compuerta sect - Compuertas.,,SEGRE,CAMARASA,EBRO
,SAN LORENZO TENOYA,,Explotación,ANTONIO CARDONA,L-JIMENEZ NEIRA,,01-01-1937,--,-732723,3173648,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"20,000","100,000","240,500","220,000","220,000","5,270",000,-,001,"0,000 -","No, Labio fijo -",,BERRANQUES,"PALMAS DE GRAN CANARIA, LAS",LAS PALMAS
,SAN MARCOS,"ACEITUNA, LA",Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",CARIJA S.A.- IMOPICO ESTUDOS E CONSTROCOES,B,30-07-1997,--,0216777,4446841,Abastecimiento                                    -  -,-  -,,"22,900","5,700","877,000","150,000",,Materiales sueltos P hormigón,"33,250","224,000","403,750","370,500","374,100","98,200",001,"0,860 -",001,"150,000 -","No, Labio fijo -",,AYO. ACEITUNA,ACEITUNA,TAJO
,SAN MARTIN,,Explotación,IBERDROLA GENERACION S.A.,S. CASTRO Y A. DEL CAMPO,A,31-12-1956,--,0156402,4702712,Hidroeléctrico                                    -  -,-  -,,"4739,600","2950,000","0,000","3500,000",,Gravedad,"25,000","125,000","296,800","271,800","0,000","24,500",001,"5,000 -",001,"4000,000 -",Compuertas. -,,SIL,QUIROGA,NORTE
,SAN MAURICIO,,Explotación,HECSA,S.E.P.E. - P. DURAN FARELL,A,01-05-1953,--,0829297,4724248,Hidroeléctrico                                    -  -,-  -,,"28,280","25,800","1390,000","47,000",,Gravedad,"19,000","97,800","1913,100","1894,100","1897,100","9,400",001,"4,000 -",001,"57,000 -","No, Labio fijo -",,ESCRITA,ESPOT,EBRO
,SAN MIGUEL,,Explotación,IBERDROLA GENERACION S.A.,S-CASTRO- SALTOS DEL SIL,,31-12-1947,--,0154144,4687675,Hidroeléctrico                                    -  -,-  -,,"27,600","28,000","0,000","0,000",,Gravedad,"10,000","27,000","815,000","805,000","806,000","1,000",000,-,001,"150,000 -","No, Labio fijo -",,SAN MIGUEL,MANZANEDA,NORTE
,SAN PEDRO (NORTE),,Explotación,IBERDROLA GENERACION S.A.,S. CASTRO,A,31-12-1959,--,0112115,4711044,Hidroeléctrico                                    -  -,-  -,,"7899,000","5850,000","0,000","4800,000",,Gravedad,"31,000","104,000","133,500","102,500","107,500","50,600",001,"64,000 -",001,"4800,000 -",Compuertas. -,,SIL,"NOGUEIRA DE RAMUIN, PANTON",NORTE
,SAN PONS,,Explotación,AUTONOMIA GENERALITAT CATALUÑA,J-M-COMTE,A,31-12-1957,--,0882050,4656262,Riego                                             -  - Abastecimiento,-  -,,"117,000","435,000","700,000","865,000",,Gravedad,"60,000","311,000","531,500","472,000","485,000","195,000",002,"70,000 - 12,000",001,"733,780 -",Compuertas. -,,CARDONER,CLARIANA DE CARDENER,C.I. CATALUÑA
,SAN RAFAEL DE NAVALLANA,,Explotación,JUNTA DE  ANDALUCIA,J-CHASTANG,,31-12-1991,--,0357580,4202465,Abastecimiento                                    -  - Riego,-  -,,"1287,000","167,000","688,000","0,000",,Materiales sueltos núcleo arcilla,"57,000","364,000","162,000","105,000","109,000","1179,910",000,-,001,"1791,000 -",Compuertas. -,,GUADALMELLATO,CORDOBA,GUADALQUIVIR
,SAN ROMAN,,Explotación,IBERDROLA GENERACION S.A.,F-CANTERO,C,31-12-1902,--,0260991,4595536,Hidroeléctrico                                    -  -,-  -,,"45950,000","4278,000","503,000","4374,000",,Materiales sueltos núcleo arcilla,"5,300","326,000","616,330","611,030","612,800","0,000",000,-,001,"3000,000 -","No, Labio fijo -",,DUERO,PERERUELA,DUERO
,SAN SEBASTIAN,,Explotación,ENDESA GENERACION S.A.,E. VALLARINO Y A. ALVAREZ,A,31-12-1959,--,0173710,4673555,Hidroeléctrico                                    -  -,-  -,,"130,000","127,000","0,000","360,000",,Contrafuertes,"60,000","292,000","1200,100","1140,100","1145,000","128,000",001,"29,300 -",001,"360,000 -",Compuertas. -,,BIBEY,PORTO,NORTE
,"SANCHO, EL",,Explotación,GRUPO EMPRESARIAL ENCE,AUXINI- E. VALLARINO Y L. ZAPICO,A,31-12-1962,01-01-1972,0147481,4153677,Abastecimiento                                    -  - Industrial,-  -,,"314,150","32,400","650,000","957,000",,ErrNA,"50,000","224,000","56,000","6,000","10,000","92,300",001,"8,570 -",001,"1088,000 -",Compuertas. -,,RIVERA DE MECA,GIBRALEON,C. ATLÁNTICA ANDALUZA
,SANS,,Explotación,"ENDESA GENERACIÓN, S.A.",J. C. STINIUS,C,01-01-1915,--,0790875,4597024,Hidroeléctrico                                    -  - Regulación,-  -,,"19,000","18,920","0,000","228,000",,Materiales sueltos núcleo arcilla,"14,000","238,000","146,000","132,000","132,000","0,000",000,-,000,-,-,,VALLE DE SANS,AITONA,EBRO
,SANTA ANA,,Explotación,ESTADO,M. URQUIJO,A,31-12-1961,--,0797430,4643076,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1757,500","679,384","936,000","1920,000",,Arco Gravedad,"99,600","241,980","380,300","280,700","306,200","367,400",001,"170,000 -",001,"1920,000 -",Compuertas. -,,NOGUERA RIBAGORZANA,CASTILLONROY,EBRO
,SANTA BRIGIDA,,Explotación,CDAD. SATAUTEJO Y LA HIGUERA,,,01-01-1954,--,-735048,3163518,Riego                                             -  -,-  -,,"8,320","0,000","0,000","0,000",,Gravedad,"20,000","95,000","560,000","540,000","540,000","10,000",000,-,001,"50,000 -","No, Labio fijo -",,BARRANCO GUINIGUADA,SANTA BRIGIDA,LAS PALMAS
,SANTA CRUZ DE PINARES,,Explotación,MANCOMUNIDAD MUNICIPAL DE AGUAS PRESA SANTA CRUZ,C. SÁNCHEZ LASTRA,A,31-12-1995,--,0365500,4490450,Abastecimiento                                    -  -,-  -,,"5,000","1,100","666,000","40,000",,Gravedad,"37,000","221,000","1090,000","1053,000","1057,000","35,600",001,"6,500 -",001,"25,000 -","No, Labio fijo -",,AYO. REGUERA,SANTA CRUZ DE PINARES,TAJO
,SANTA EUGENIA,,Explotación,CARBUROS METALICOS,F-PEREZ-CABO,,31-12-1988,--,0001719,4769855,Hidroeléctrico                                    -  -,-  -,,"59,000","0,000","1760,000","816,000",,Hormigón Compactado,"80,000","288,000","201,500","120,500","149,800","222,000",000,-,001,"711,000 -",Compuertas. -,,JALLAS,DUMBRIA,GALICIA COSTA
,SANTA EULALIA,,Explotación,IBERDROLA GENERACION S.A.,"S.CASTRO, A DEL CAMPO",A,31-12-1966,--,0165150,4696683,Hidroeléctrico                                    -  -,-  -,,"309,200","206,000","0,000","650,000",,Bóveda,"73,000","212,000","528,000","455,000","457,000","72,400",001,"57,000 -",002,"960,000 - 31,000","Compuertas. - No, Labio fijo",,JARES,"VEIGA, LA, BOLLO",NORTE
,SANTA LUCIA DE LA SIERRA,,Explotación,COMUNIDAD DE REGANTES DE LA CARRERA-GARGANTA DEL ENDRINAL,R-SEGURA,,31-12-1991,--,0279725,4468970,Riego                                             -  -,-  -,,"19,750","15,000","1240,000","235,000",,Materiales sueltos núcleo arcilla,"28,000","177,300","1164,000","1136,000","1137,000","108,990",001,"0,000 -",001,"200,000 -","No, Labio fijo -",,ENDRINAL,SANTA LUCIA,DUERO
,SANTA MARIA BELSUE,,Explotación,ESTADO,M-MANTECON,A,31-12-1931,--,0718850,4686985,Riego                                             -  -,-  -,,"190,000","21,000","750,000","130,000",,Gravedad,"52,000","126,610","896,400","844,400","853,400","57,860",002,"0,000 - 0,000",001,"130,000 -","No, Labio fijo -",,FLUMEN,NUENO,EBRO
,SANTA MARTA DE MAGASCA,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",,C,30-10-1997,--,0235344,4378528,Abastecimiento                                    -  -,-  -,,"8,630","0,512","630,700","31,670",,Gravedad,"23,500","68,800","293,740","270,240","273,890","4526,000",001,"1,120 -",001,"28,200 -","No, Labio fijo -",,AYO. PASCUALETE,SANTA MARTA DE MAGASCA,TAJO
,SANTA TERESA,,Explotación,ESTADO,L. DIAZ CANEJA PANDO,A,31-12-1960,--,0280229,4505515,Hidroeléctrico                                    -  - Riego,-  -,,"1853,000","680,000","639,400","2050,000",,Gravedad,"58,500","517,000","887,200","828,700","832,700","385,570",002,"0,000 - 0,000",001,"2050,000 -",Compuertas. -,,TORMES,MONTEJO,DUERO
,SANTA TERESA (DIQUE DEL COLLADO),,Explotación,ESTADO,L. DIAZ CANEJA PANDO,A,31-12-1960,--,0280260,4505530,Hidroeléctrico                                    -  - Riego,-  -,,"1853,000","639,400","680,000","2050,000",,Gravedad,"15,000","165,000","886,900","871,900","874,200","10,000",000,-,000,-,-,,TORMES,MONTEJO,DUERO
,SANTIAGO,,Explotación,IBERDROLA GENERACION S.A.,S-CASTRO Y A. DEL CAMPO,,31-12-1968,--,0164301,4702909,Hidroeléctrico                                    -  -,-  -,,"4343,200","2860,000","0,000","2500,000",,Gravedad,"20,500","147,000","306,000","285,500","288,500","27,000",000,-,001,"3500,000 -",Compuertas. -,,SIL,VILLAMARTIN DE VALDEORRAS,NORTE
,SANTIAMA,,Explotación,COMUNIDAD DE REGANTES DE MENDILUCIA,RICARDO GOMEZ MARCHESSI,A,01-01-1998,--,0525250,4722250,Riego                                             -  -,-  -,,"0,000","0,000","0,000","3,620",,Materiales sueltos P Lámina,"23,000","218,120","800,250","777,250","0,000","160,000",001,"0,500 -",001,"4,000 -","No, Labio fijo -",,BCO. SANTIAMA,PEÑACERRADA,EBRO
,SANTOLEA,,Explotación,ESTADO,F-CHECA,A,31-12-1932,--,0726142,4516202,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1250,000","108,700","426,000","975,000",,Gravedad,"50,500","137,700","584,350","533,850","539,350","105,340",001,"219,000 -",001,"898,000 -",Compuertas. -,,GUADALOPE,CASTELLOTE,EBRO
